codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
1002,USC (Campus Santiago),Enfermaría Piscina Universitaria,SANTIAGO,A CORUÑA,42.8780,-8.5552,En centros docentes
1003,Aeropuerto de Vigo,Aeroporto de Vigo,VIGO,PONTEVEDRA,42.2257,-8.6328,En aeropuertos o estaciones
1007,Protección Civil Avión GES,Protección Civil Avión,AVION,OURENSE,42.3752,-8.2529,Protección civil (no amb.)
1010,Deputación Provincial da Coruña,Teatro Colón,"CORUÑA, A",A CORUÑA,43.3702,-8.3986,Otros
1012,"Showa Denko Carbón Spain, SA",Showa Denko Carbón Spain (junto al servicio médico),"CORUÑA, A",A CORUÑA,43.3450,-8.4335,En empresa privada
1020,PC Concello A Coruña,Praia Lapas,"CORUÑA, A",A CORUÑA,43.3836,-8.4062,Protección civil (no amb.)
1021,PC Concello A Coruña,Praia Riazor,"CORUÑA, A",A CORUÑA,43.3685,-8.4117,Protección civil (no amb.)
1022,PC Concello A Coruña,Praia Orzán,"CORUÑA, A",A CORUÑA,43.3724,-8.4040,Protección civil (no amb.)
1025,PC Concello A Coruña,Praia de Oza,"CORUÑA, A",A CORUÑA,43.3471,-8.3832,Protección civil (no amb.)
1026,PC Concello A Coruña,Praia de San Amaro,"CORUÑA, A",A CORUÑA,43.3817,-8.3971,Protección civil (no amb.)
1030,Protección Civil de Redondela,Protección Civil - Playa de Area Longa,REDONDELA,PONTEVEDRA,42.2644,-8.6768,Protección civil (no amb.)
1031,Aeropuerto de A Coruña,Aeropuerto,CULLEREDO,A CORUÑA,43.3023,-8.3820,En aeropuertos o estaciones
1032,Concello de Lugo,Parque de Bomberos,LUGO,LUGO,43.0326,-7.5726,Otros
1033,Piscina Municipal de Villagarcía,Piscina Municipal,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5840,-8.7749,En piscina pública
1034,Protección Civil de Redondela,Playa de Cesantes,REDONDELA,PONTEVEDRA,42.3097,-8.6233,Protección civil (no amb.)
1036,Ayuntamiento de Lugo,Policía Local,LUGO,LUGO,42.9995,-7.5429,Otros
1039,"FORESA, INDUSTRIAS QUÍMICAS DEL NOROESTE, S.L.",Foresa,CALDAS DE REIS,PONTEVEDRA,42.5983,-8.6488,En empresa privada
1042,Pavillón Municipal de Deportes de Pontevedra,Pavillón Municipal de Deportes de Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4366,-8.6415,En instalaciones deportivas
1043,Concello de Pontevedra,Pavillón Multiusos da Xunqueira de Pontevedra,PONTEVEDRA,PONTEVEDRA,42.4383,-8.6369,En instalaciones deportivas
